Speed,Pos,LSD,MSD,BSD,Time_Since_MSD
1,7.10833,9999,445,358,4800
1,7.29417,9999,353,276,4120
1,4.35333,9999,408,9999,1800
1,5.29417,222,9999,9999,20
1,0.0,9999,9999,9999,20
1,4.85292,318,9999,9999,0
1,8.88375,9999,172,168,380
1,0.0,9999,9999,9999,2800
1,3.20833,9999,364,356,620
1,6.87542,9999,519,540,3480
2,4.50375,9999,270,9999,1620
1,6.24583,9999,325,9999,4360
1,6.29458,9999,175,281,2880
1,6.24583,9999,324,9999,4440
1,1.91208,566,9999,9999,0
1,0.675417,9999,9999,9999,1460
2,0.0,9999,9999,9999,1960
1,2.48417,9999,9999,9999,3860
1,6.20833,9999,263,9999,6120
2,0.599167,570,9999,9999,1340
1,7.08167,9999,348,277,3120
1,6.95917,9999,628,542,13920
1,2.1,9999,9999,9999,10420
1,2.1,9999,9999,9999,7320
1,7.29917,9999,350,279,1280
1,4.13708,9999,269,9999,8220
1,2.1,9999,9999,9999,9800
1,7.97292,9999,340,269,4560
1,2.1,9999,9999,9999,5060
1,7.29458,9999,560,482,7760
1,8.21375,9999,485,9999,12400
1,6.66833,9999,324,9999,4760
1,7.29917,9999,348,277,3380
1,0.0,9999,9999,9999,140
1,9.34208,9999,191,185,4880
1,7.29458,9999,561,482,6440
1,6.20833,9999,265,9999,5440
1,0.0,9999,9999,9999,1860
1,4.5875,287,9999,9999,20
1,5.63708,487,9999,410,20
1,2.66083,9999,349,9999,7220
1,6.87167,9999,421,336,7260
1,0.0,9999,9999,9999,140
1,6.17583,9999,324,9999,3360
1,8.97417,9999,174,170,2240
1,7.10833,9999,442,356,3540
1,8.44417,9999,9999,289,20
1,6.94375,9999,515,537,1960
1,7.13208,9999,628,544,6780
1,5.41375,9999,9999,9999,1680
1,6.5375,9999,177,214,1320
1,0.446667,9999,9999,9999,1460
1,8.41042,9999,9999,278,80
1,6.62583,9999,277,318,1100
2,3.47792,9999,9999,9999,2900
1,6.95333,9999,615,530,6840
1,7.97292,9999,342,266,1640
1,0.682917,9999,9999,9999,1300
1,7.67083,9999,342,9999,2360
1,3.71042,9999,318,268,6400
0,4.85917,9999,9999,9999,2860
1,0.22,9999,9999,9999,1860
1,2.78292,9999,9999,9999,9780
1,7.87167,9999,340,277,7060
1,7.74792,9999,308,231,7540
1,6.23167,9999,426,344,1280
1,2.48167,9999,9999,9999,5700
1,5.20792,9999,384,9999,1980
1,0.0,9999,9999,9999,0
1,6.45333,9999,513,530,2660
1,6.93167,9999,513,540,6000
1,7.0225,9999,301,233,6720
1,6.34583,9999,276,320,2740
1,4.44375,9999,202,328,940
1,7.29458,9999,561,479,6040
1,1.2275,9999,305,234,120
1,0.0,9999,9999,9999,520
1,7.0225,9999,301,233,4560
1,0.0,9999,9999,9999,2540
1,5.30458,226,9999,172,0
1,4.26667,9999,432,372,800
1,0.0,9999,9999,1011,680
1,7.61375,9999,485,9999,1980
1,5.51208,224,9999,9999,0
1,2.6125,9999,334,9999,4240
1,6.89208,9999,421,339,7880
1,6.95333,9999,512,541,10560
1,6.87208,9999,421,338,9500
1,0.0,9999,9999,9999,160
1,0.0,9999,9999,9999,940
1,0.0,9999,9999,9999,460
1,9.34208,9999,191,185,4320
2,0.06,9999,9999,9999,860
2,3.58958,256,9999,9999,0
1,8.97417,9999,175,171,2560
1,7.97292,9999,342,266,11120
1,2.78292,9999,9999,9999,10700
1,2.78292,9999,9999,9999,8800
1,6.43292,9999,175,213,1940
1,5.0125,9999,9999,9999,4380
1,6.24583,9999,326,9999,3540
1,5.12,321,9999,261,60
1,6.23167,9999,426,345,2420
1,8.02417,9999,336,9999,760
1,0.0,9999,9999,9999,160
1,8.8225,9999,195,276,980
1,5.66917,9999,377,283,920
1,5.44667,9999,9999,9999,4660
1,9.34208,9999,196,183,1900
2,1.62083,9999,306,266,6600
1,3.51042,9999,315,269,5880
1,6.78417,9999,511,539,12700
1,6.25167,9999,177,223,1060
1,6.40958,9999,512,536,4780
1,2.1,9999,9999,9999,10440
1,4.19792,9999,265,9999,9120
1,4.12542,9999,264,9999,9720
1,8.10333,9999,9999,177,460
1,7.0225,9999,303,233,5500
1,6.20833,9999,263,9999,1200
1,5.6375,288,9999,9999,0
1,4.02167,9999,270,9999,1860
1,2.29458,9999,9999,9999,4360
1,7.92292,9999,480,9999,3280
1,2.39833,9999,9999,9999,3380
1,7.31875,9999,303,233,900
1,0.0,9999,1773,9999,100
1,5.76667,480,9999,420,0
0,7.82875,9999,229,9999,1700
1,3.1125,9999,9999,9999,4380
1,7.19917,9999,349,274,2160
1,7.10875,9999,444,361,3480
1,4.48375,9999,264,9999,3040
0,7.19625,9999,559,478,1100
1,0.0,9999,9999,9999,1760
1,2.1,9999,9999,9999,8480
1,7.87292,9999,342,268,7260
1,2.6175,9999,336,9999,6200
1,7.10167,9999,447,394,1060
1,6.52042,9999,308,238,5260
2,0.113333,9999,9999,9999,1140
1,5.72375,9999,396,276,340
1,2.1,9999,9999,9999,7860
1,2.1,9999,9999,9999,9220
1,6.93125,562,524,513,60
1,8.8175,9999,195,276,700
1,7.10833,9999,443,359,2040
1,6.34583,9999,275,321,2720
1,7.0225,9999,303,233,7000
1,6.70458,331,9999,374,20
1,4.44667,9999,279,9999,2920
1,7.025,9999,301,234,5120
1,6.575,9999,444,362,5060
